timestamp,species,tilenum,lon,lat,obs,fcst,assim_flag,kept
20150401_0300,9,6548,-109.60177612304688,55.92334747314453,0.3421483635902405,0.3155128061771393,1,False
20150401_1500,8,9449,-100.95453643798828,52.600711822509766,0.3145522475242615,0.32367682456970215,1,False
20150409_1800,8,5230,-114.09286499023438,54.406646728515625,0.3580431640148163,0.30477452278137207,1,False
20150409_1800,9,4813,-115.58916473388672,57.42535400390625,0.3639778196811676,0.28890928626060486,1,False
20150409_1800,9,5230,-114.09286499023438,54.406646728515625,0.35335415601730347,0.30477452278137207,1,False
20150410_0300,9,4813,-115.58917236328125,57.42535400390625,0.3302634358406067,0.2813524901866913,1,False
20150410_0300,9,5230,-114.09286499023438,54.40664291381836,0.3397073745727539,0.3010161221027374,1,False
20150410_0300,9,6548,-109.60177612304688,55.92334747314453,0.35468295216560364,0.2820911705493927,1,False
20150410_0600,9,5230,-114.09286499023438,54.40664291381836,0.333220511674881,0.2963208854198456,1,False
20150410_1800,9,4813,-115.58915710449219,57.42535400390625,0.3858649730682373,0.2827964425086975,1,False
20150410_1800,9,5230,-114.09286499023438,54.40664291381836,0.35423097014427185,0.2948421537876129,1,False
20150410_1800,9,6548,-109.60177612304688,55.92334747314453,0.38735124468803406,0.2965434789657593,1,False
20150411_0300,8,4813,-115.58915710449219,57.42535400390625,0.26882117986679077,0.2779390513896942,1,False
20150411_0300,8,5230,-114.09286499023438,54.40664291381836,0.33583343029022217,0.28281375765800476,1,False
20150411_0300,8,9449,-100.95453643798828,52.600711822509766,0.3148718476295471,0.28919193148612976,1,False
20150411_0300,9,6548,-109.60177612304688,55.92334747314453,0.375388503074646,0.29062989354133606,1,False
20150411_0300,9,9449,-100.95453643798828,52.600711822509766,0.34874093532562256,0.28919193148612976,1,False
20150411_0600,9,4813,-115.58915710449219,57.42535400390625,0.2996367812156677,0.2736242115497589,1,False
20150411_0600,9,5230,-114.09286499023438,54.40664291381836,0.33520370721817017,0.2955690622329712,1,False
20150411_0600,9,6548,-109.60177612304688,55.92334747314453,0.3606009781360626,0.3021070063114166,1,False
20150411_1800,8,4813,-115.58916473388672,57.425357818603516,0.3208326995372772,0.2754260301589966,1,False
20150411_1800,8,9449,-100.95453643798828,52.600711822509766,0.4077473282814026,0.29607534408569336,1,False
20150411_1800,9,4813,-115.58916473388672,57.425357818603516,0.3711848258972168,0.2754260301589966,1,False
20150411_1800,9,5230,-114.09286499023438,54.406646728515625,0.3445105254650116,0.2975063621997833,1,False
20150411_1800,9,6548,-109.60177612304688,55.9233512878418,0.41375309228897095,0.30189740657806396,1,False
20150412_0300,8,4813,-115.58915710449219,57.42535400390625,0.2856612801551819,0.2710020840167999,1,False
20150412_0300,8,5230,-114.09286499023438,54.40664291381836,0.31681469082832336,0.2796887457370758,1,False
20150412_0300,8,6548,-109.60177612304688,55.92334747314453,0.3605864644050598,0.2991814613342285,1,False
20150412_0300,9,6548,-109.60177612304688,55.92334747314453,0.3452152609825134,0.2991814613342285,1,False
20150412_0300,9,9449,-100.95453643798828,52.600711822509766,0.3638809025287628,0.2987586259841919,1,False
