target_tile,tile_id,com_lon,com_lat,area,poros
3823,3491,-121.18260192871094,57.43040084838867,1298.321044921875,0.4472000002861023
3823,3492,-121.18260192871094,56.91429901123047,1298.321044921875,0.4472000002861023
3823,3493,-121.18260192871094,56.40520095825195,1286.6708984375,0.4472000002861023
3823,3571,-120.80909729003906,57.43040084838867,1295.9923095703125,0.9300000071525574
3823,3572,-120.80909729003906,56.91429901123047,1298.321044921875,0.4472000002861023
3823,3573,-120.80909729003906,56.40520095825195,1284.10107421875,0.4472000002861023
3823,3653,-120.43569946289062,57.43040084838867,1293.203125,0.4472000002861023
3823,3654,-120.43569946289062,56.91429901123047,1298.321044921875,0.9300000071525574
3823,3655,-120.43569946289062,56.40520095825195,1293.1104736328125,0.4472000002861023
3823,3737,-120.06220245361328,57.43040084838867,1297.852294921875,0.47760000824928284
3823,3738,-120.06220245361328,56.91429901123047,1296.9320068359375,0.9300000071525574
3823,3739,-120.06220245361328,56.40520095825195,1294.0604248046875,0.4472000002861023
3823,3822,-119.68879699707031,57.43040084838867,1295.9884033203125,0.9300000071525574
3823,3823,-119.68879699707031,56.91429901123047,1295.987548828125,0.47760000824928284
3823,3824,-119.68879699707031,56.40520095825195,1296.8946533203125,0.4472000002861023
3823,3906,-119.31539916992188,57.43040084838867,1296.45263671875,0.9300000071525574
3823,3907,-119.31539916992188,56.91429901123047,1296.918212890625,0.4472000002861023
3823,3908,-119.31539916992188,56.40520095825195,1288.36181640625,0.4472000002861023
3823,3992,-118.94190216064453,57.43040084838867,1298.321044921875,0.9300000071525574
3823,3993,-118.94190216064453,56.91429901123047,1297.362548828125,0.4472000002861023
3823,3994,-118.94190216064453,56.40520095825195,1292.9866943359375,0.4472000002861023
3823,4077,-118.56849670410156,57.43040084838867,1298.321044921875,0.4472000002861023
3823,4078,-118.56849670410156,56.91429901123047,1298.321044921875,0.4472000002861023
3823,4079,-118.56849670410156,56.40520095825195,1293.0989990234375,0.4697999954223633
3823,4166,-118.19499969482422,57.43040084838867,1297.8582763671875,0.4472000002861023
3823,4167,-118.19499969482422,56.91429901123047,1297.8531494140625,0.4472000002861023
3823,4168,-118.19499969482422,56.40520095825195,1295.9498291015625,0.4697999954223633
4338,3987,-118.94190216064453,60.12860107421875,1235.775146484375,0.9300000071525574
4338,3988,-118.94190216064453,59.571800231933594,1116.4376220703125,0.9300000071525574
4338,3989,-118.94190216064453,59.02410125732422,1186.781494140625,0.9300000071525574
4338,4072,-118.56849670410156,60.12860107421875,1290.5418701171875,0.9300000071525574
4338,4073,-118.56849670410156,59.571800231933594,1111.0958251953125,0.9300000071525574
4338,4074,-118.56849670410156,59.02410125732422,1289.9642333984375,0.5037999749183655
4338,4161,-118.19499969482422,60.12860107421875,1281.8551025390625,0.9300000071525574
4338,4162,-118.19499969482422,59.571800231933594,1281.3172607421875,0.9300000071525574
4338,4163,-118.19499969482422,59.02410125732422,1297.4423828125,0.4964999854564667
4338,4250,-117.82160186767578,60.12860107421875,1275.006103515625,0.9300000071525574
4338,4251,-117.82160186767578,59.571800231933594,1291.2987060546875,0.9300000071525574
4338,4252,-117.82160186767578,59.02410125732422,1294.4053955078125,0.4964999854564667
4338,4337,-117.4480972290039,60.12860107421875,1293.9910888671875,0.9300000071525574
4338,4338,-117.4480972290039,59.571800231933594,1297.0032958984375,0.5458999872207642
4338,4339,-117.4480972290039,59.02410125732422,1296.55859375,0.5458999872207642
4338,4427,-117.07469940185547,60.12860107421875,1291.757568359375,0.9300000071525574
