site_idx,lat,lon,depth
10,33.88,-83.43,rootzone
20,31.73,-110.05,rootzone
21,31.5,-83.55,rootzone
22,40.67,-76.67,rootzone
28,34.07,-90.35,rootzone
30,34.3,-79.73,rootzone
31,32.67,-81.2,rootzone
32,38.23,-78.12,rootzone
33,36.68,-76.77,rootzone
34,44.53,-72.83,rootzone
38,40.25,-93.72,rootzone
40,39.02,-76.85,rootzone
44,34.45,-86.15,rootzone
52,42.43,-95.77,rootzone
60,35.14,-86.19,rootzone
63,30.47,-88.74,rootzone
69,37.92,-79.2,rootzone
71,35.21,-92.92,rootzone
