deliverable_id,work_package,wp_title,title,type,dissemination,expected_date,source_page,file_url,local_file,download_status,download_date,byte_size,sha256
D3.2,WP3,Balanced initialization of land surface for seasonal forecasts,One or more sets of land surface initial conditions for 1993-2022 for use in seasonal forecast demonstrators,DATA,Confidential,Sep-2025,https://www.cerise-project.eu/deliverables,,,skipped_confidential,2026-06-17,,
D3.3,WP3,Balanced initialization of land surface for seasonal forecasts,"Monthly mean land surface data from initialisation systems used for D3.2, to allow intercomparison and further assessment",DATA,Confidential,Sep-2025,https://www.cerise-project.eu/deliverables,,,skipped_confidential,2026-06-17,,
D3.4,WP3,Balanced initialization of land surface for seasonal forecasts,Monthly mean land surface data from the real-time initialisation systems - for further assessment,DATA,Confidential,Mar-2026,https://www.cerise-project.eu/deliverables,,,skipped_confidential,2026-06-17,,
D3.5,WP3,Balanced initialization of land surface for seasonal forecasts,"Documentation of the final version of land surface initialisation systems, including real-time prototypes",REPORT,Public,Jun-2026,https://www.cerise-project.eu/deliverables,,,no_file_link_found,2026-06-17,,
D4.1,WP4,Reanalysis prototypes,Deliver ERA6-Land-Pv2 Land prototype to provide a basis for ERA6-Land,DATA,Confidential,Sep-2025,https://www.cerise-project.eu/deliverables,,,skipped_confidential,2026-06-17,,
D4.2,WP4,Reanalysis prototypes,Deliver ERA7-Pv2 second prototype as preparation for ERA7,DATA,Confidential,Dec-2026,https://www.cerise-project.eu/deliverables,,,skipped_confidential,2026-06-17,,
D4.3,WP4,Reanalysis prototypes,"Deliver CARRA-land-Pv2, second prototype of an offline Arctic land system",DATA,Confidential,Aug-2025,https://www.cerise-project.eu/deliverables,,,skipped_confidential,2026-06-17,,
D4.4,WP4,Reanalysis prototypes,Deliver CERRA-land-Pv1 reanalysis over Europe,DATA,Confidential,Dec-2025,https://www.cerise-project.eu/deliverables,,,skipped_confidential,2026-06-17,,
D4.5,WP4,Reanalysis prototypes,"Deliver CARRA3-Pv1, prototype for CARRA3",DATA,Confidential,Dec-2025,https://www.cerise-project.eu/deliverables,,,skipped_confidential,2026-06-17,,
D4.6,WP4,Reanalysis prototypes,"Deliver CERRA2-Pv1, prototype for CERRA2",DATA,Confidential,Sep-2026,https://www.cerise-project.eu/deliverables,,,skipped_confidential,2026-06-17,,
